Customer,Cust#,CustGrp,TradeIco,CivMil,Po#,Item#,Description,ItemType,Pl,SubPl,PlannerCode,Order#,Line#,Schd#,Order Date,SchDate,ReqDate,PromDate,CommitDate,PickSlip#,ShipDate,ShipQty,ExtPrice,ExtCost,Margin,Trx#,Trxdate,TrxYr,TrxQtr,TrxMo,TrxWk,Mrkt,QuoteOrRma,WAYBILL_NUM,MegMo,days,ot,LINE_ID,LINE_TYPE_CODE,ShipVia,DocumentNumber
"SAMCO CO., LTD",10807,,TRADE,CIVIL,SM1001PS003,42000819-1,ACTUATOR RRJ EPAS,FG,PRV,02P,,248804,1,0,2014-10-28,2014-10-17,2015-04-03,2015-04-03,2014-10-17,375987,2015-03-31,1,0,0,0,60249574,2015-03-31,2015,2,4,14,WTY,RPR106484,FEDEX,4,3,ONTIME,441640,REGULAR,FEDEX Intl Priority,248804-375987
"SAMCO CO., LTD",10807,,TRADE,CIVIL,SM1001PS005,41004658-1,GAS BOTTLE ASSEMBLY EMERGENCY PASSENGER ASSIST SYSTEM RUSSIAN REGIONAL JET,FG,PRV,02P,,248805,1,0,2013-12-11,2014-10-17,2015-04-03,2015-04-03,2014-10-17,375986,2015-03-31,1,0,0,0,60249575,2015-03-31,2015,2,4,14,WTY,RPR106482,FEDEX,4,3,ONTIME,441641,REGULAR,FEDEX Intl Priority,248805-375986
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530597,30903802-1,"CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER",P,FIR,01F,PLNR01,250241,6,6,2012-04-12,2015-01-16,2015-01-26,2015-02-03,2015-02-23,378954,2015-01-26,6,1872,4415.25,-2543.25,60247221,2015-01-26,2015,1,1,5,OEM,,613757000000,1,0,ONTIME,455400,DETAIL,FEDEX P-1,250241-378954
BOEING COMMERCIAL_DU,1369,BOEING,TRADE,CIVIL,771493,FIR NRC,NON RECURRING CHARGE,SDS,FIR,01F,PLNR01,252774,4,0,2012-09-17,2016-01-29,2016-01-29,2016-01-29,2014-12-20,385712,2015-05-23,1,57900,0,57900,60251589,2015-05-23,2015,2,5,22,OEM,SPB-767-2C,ok tp process per BGarcia 5/23,5,251,ONTIME,469204,REGULAR,Best Way,252774-385712
UNITED LAUNCH ALLIANCE,1443,LOCKHEED,TRADE,MILITARY,4500030446,60000011-2,"VENT VALVE, HYDROGEN (FUEL)",FG,PRV,02P,PLNR04,253639,1,6,2012-11-21,2015-02-09,2015-03-13,2015-02-23,2014-12-05,379975,2015-02-09,1,176399,106579.25,69819.75,60247749,2015-02-09,2015,1,2,7,OEM,,613757000000,2,32,ONTIME,475323,DETAIL,FEDEX P-1,253639-379975
UNITED LAUNCH ALLIANCE,1443,LOCKHEED,TRADE,MILITARY,4500030446,60000011-2,"VENT VALVE, HYDROGEN (FUEL)",FG,PRV,02P,PLNR04,253639,1,8,2012-11-21,2015-02-13,2015-03-31,2015-02-27,2015-03-31,382162,2015-03-26,1,176399,94857.11,81541.89,60249359,2015-03-26,2015,1,3,13,OEM,,632494000000,3,5,ONTIME,475325,DETAIL,FEDEX P-1,253639-382162
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530597,30903802-1,"CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER",P,FIR,01F,PLNR01,253693,1,1,2012-11-27,2015-03-16,2015-03-25,2015-04-01,2015-03-24,381988,2015-03-25,9,2907,5825.67,-2918.67,60249319,2015-03-25,2015,1,3,13,OEM,,613757000000,3,0,ONTIME,475525,DETAIL,FEDEX P-1,253693-381988
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530597,30903802-1,"CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER",P,FIR,01F,PLNR01,253693,1,2,2012-11-27,2015-06-11,2015-06-22,2015-06-30,2015-06-22,386581,2015-06-20,9,2907,5825.67,-2918.67,60252659,2015-06-20,2015,2,6,26,OEM,,613757000000,6,2,ONTIME,475526,DETAIL,FEDEX P-1,253693-386581
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530597,30903802-1,"CARTRIDGE, AIRCRAFT FIRE EXTINGUISHER",P,FIR,01F,PLNR01,253693,1,3,2012-11-27,2015-09-15,2015-09-23,2015-10-01,2015-09-23,392024,2015-09-23,9,2907,5825.67,-2918.67,60255818,2015-09-23,2015,3,9,39,OEM,,613757000000,9,0,ONTIME,475527,DETAIL,FEDEX P-1,253693-392024
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,2,2012-11-28,2015-01-06,2015-01-16,2015-01-20,,378607,2015-01-16,3,2100,578.14,1521.86,60246948,2015-01-16,2015,1,1,3,OEM,QKB021111A,613757000000,1,0,ONTIME,475675,DETAIL,FEDEX 2-Day,253708-378607
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,3,2012-11-28,2015-01-29,2015-02-06,2015-02-12,2015-02-06,379722,2015-02-06,3,2100,622.98,1477.02,60247704,2015-02-06,2015,1,2,6,OEM,QKB021111A,84329100000000,2,0,ONTIME,475676,DETAIL,FEDEX Ground,253708-379722
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,4,2012-11-28,2015-02-24,2015-03-03,2015-03-10,2015-03-03,380965,2015-03-03,3,2100,622.98,1477.02,60248584,2015-03-03,2015,1,3,10,OEM,QKB021111A,613757000000,3,0,ONTIME,475677,DETAIL,FEDEX Ground,253708-380965
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,5,2012-11-28,2015-03-20,2015-03-27,2015-04-03,2015-03-27,382018,2015-03-27,3,2100,555.69,1544.31,60249472,2015-03-27,2015,1,3,13,OEM,QKB021111A,613757000000,3,0,ONTIME,475678,DETAIL,FEDEX Ground,253708-382018
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,6,2012-11-28,2015-04-15,2015-04-23,2015-04-29,,383567,2015-04-23,3,2100,555.69,1544.31,60250437,2015-04-23,2015,2,4,17,OEM,QKB021111A,632494000000,4,0,ONTIME,475679,DETAIL,FEDEX Express3,253708-383567
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,7,2012-11-28,2015-05-12,2015-05-20,2015-05-26,,385396,2015-05-20,3,2100,555.69,1544.31,60251485,2015-05-20,2015,2,5,21,OEM,QKB021111A,613757000000,5,0,ONTIME,475680,DETAIL,FEDEX Ground,253708-385396
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,8,2012-11-28,2015-06-04,2015-06-11,2015-06-18,2015-06-11,385936,2015-06-11,3,2100,555.69,1544.31,60252358,2015-06-11,2015,2,6,24,OEM,QKB021111A,632494000000,6,0,ONTIME,475681,DETAIL,FEDEX Ground,253708-385936
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,9,2012-11-28,2015-06-30,2015-07-07,2015-07-14,2015-07-07,387281,2015-07-07,3,2100,555.69,1544.31,60253184,2015-07-07,2015,3,7,28,OEM,QKB021111A,613757000000,7,0,ONTIME,475682,DETAIL,FEDEX Ground,253708-387281
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,10,2012-11-28,2015-07-23,2015-07-30,2015-08-06,2015-07-30,388882,2015-07-28,3,2100,555.69,1544.31,60253902,2015-07-28,2015,3,7,31,OEM,QKB021111A,613757000000,7,2,ONTIME,475683,DETAIL,FEDEX 2-Day,253708-388882
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,11,2012-11-28,2015-08-18,2015-08-25,2015-09-01,2015-08-25,390699,2015-08-22,3,2100,555.69,1544.31,60254764,2015-08-22,2015,3,8,35,OEM,QKB021111A,613757000000,8,3,ONTIME,475684,DETAIL,FEDEX Express3,253708-390699
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,12,2012-11-28,2015-09-10,2015-09-17,2015-09-24,2015-09-17,391375,2015-09-17,1,700,185.23,514.77,60255536,2015-09-17,2015,3,9,38,OEM,QKB021111A,613757000000,9,0,ONTIME,475685,DETAIL,FEDEX Ground,253708-391375
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,35240022,DISCHARGE OUTLET,SA,FIR,01X,PLNR03,253708,1,12,2012-11-28,2015-09-10,2015-09-17,2015-09-24,2015-09-17,391375,2015-09-17,2,1400,370.46,1029.54,60255536,2015-09-17,2015,3,9,38,OEM,QKB021111A,613757000000,9,0,ONTIME,475685,DETAIL,FEDEX Ground,253708-391375
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,33874500A,FIREX 224-3(7409)F-15,FG,FIR,01F,PLNR01,253753,1,1,2012-11-30,2015-01-19,2015-01-30,2015-02-03,2014-10-15,379580,2015-01-30,1,2378,1379.03,998.97,60247555,2015-01-30,2015,1,1,5,OEM,QKB021111A,580951000000,1,0,ONTIME,475877,DETAIL,FEDEX Std Overnight,253753-379580
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,33874500A,FIREX 224-3(7409)F-15,FG,FIR,01F,PLNR01,253753,1,2,2012-11-30,2015-02-09,2015-02-21,2015-02-23,2014-11-13,380620,2015-02-21,1,2378,1379.03,998.97,60248173,2015-02-21,2015,1,2,9,OEM,QKB021111A,632494000000,2,0,ONTIME,475878,DETAIL,FEDEX Std Overnight,253753-380620
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,33874500A,FIREX 224-3(7409)F-15,FG,FIR,01F,PLNR01,253753,1,3,2012-11-30,2015-03-16,2015-04-02,2015-03-27,2015-04-01,382331,2015-03-25,1,2378,1379.05,998.95,60249320,2015-03-25,2015,1,3,13,OEM,QKB021111A,632494000000,3,8,ONTIME,475879,DETAIL,FEDEX Std Overnight,253753-382331
BOEING/MCDONNELL DOUGLAS CORP.,1449,BOEING,TRADE,MILITARY,530606,33874500A,FIREX 224-3(7409)F-15,FG,FIR,01F,PLNR01,253753,1,3,2012-11-30,2015-03-16,2015-04-02,2015-03-27,2015-04-01,382771,2015-04-02,1,2378,1379.05,998.95,60249687,2015-04-02,2015,2,4,14,OEM,QKB021111A,613757000000,4,0,ONTIME,475879,DETAIL,FEDEX Ground,253753-382771
PAC SCI - Sales,2002,PAC SCI,INTERCO,CIVIL,MARKETING/STEVE HOWSON,52001965-1,"DISCHARGE OUTLET, ASSY, MACHINED",SA,FIR,01X,PLNR03,255250,3,0,2013-04-05,2013-10-04,2015-08-14,2015-08-17,2014-12-31,357862,2015-08-14,6,0,3924.32,-3924.32,60254540,2015-08-14,2015,3,8,33,SPA,,close per EF  gievn to Eng a long time ago,8,0,ONTIME,486696,REGULAR,Ship In Place,255250-357862
M7 AEROSPACE,2804,,TRADE,CIVIL,V102824,140290-1,REGULATOR,FG,PRV,02P,PLNR04,255596,2,5,2013-05-01,2015-02-17,2015-02-25,2015-03-02,2015-02-21,380333,2015-02-13,1,8957,1848.15,7108.85,60247922,2015-02-13,2015,1,2,7,OEM,SS050712A,613757000000,2,12,ONTIME,489095,DETAIL,FEDEX Ground,255596-380333
PAC SCI - Sales,2002,PAC SCI,INTERCO,CIVIL,ALEX-LJ200,33200028-2,"FIRE EXT, 125 CU IN HERMETIC, SINGLE OUT, TCPS, GAUGE",FG,FIR,01F,PLNR01,256066,1,0,2013-06-06,2013-11-08,2015-06-04,2013-11-22,2014-12-31,356638,2015-06-04,4,0,8518,-8518,60252108,2015-06-04,2015,2,6,23,SPA,,ok to close per IC/Alex H,6,0,ONTIME,492874,REGULAR,Ship In Place,256066-356638
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,7,2013-06-07,2015-01-06,2015-01-23,2015-01-29,2015-01-14,378867,2015-01-23,1,1729.37,2500.16,-770.79,60247149,2015-01-23,2015,1,1,4,OEM,CONTRACT,FEDEX,1,0,ONTIME,492974,DETAIL,FEDEX Intl Priority,256094-378867
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,8,2013-06-07,2015-01-19,2015-01-27,2015-02-04,2015-01-27,379382,2015-01-27,1,1729.37,2534.88,-805.51,60247271,2015-01-27,2015,1,1,5,OEM,CONTRACT,FEDEX,1,0,ONTIME,492975,DETAIL,FEDEX Intl Economy,256094-379382
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,9,2013-06-07,2015-01-30,2015-02-09,2015-02-17,2015-02-09,380079,2015-02-09,1,1729.37,2534.88,-805.51,60247762,2015-02-09,2015,1,2,7,OEM,CONTRACT,FEDEX,2,0,ONTIME,492976,DETAIL,FEDEX Intl Economy,256094-380079
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,10,2013-06-07,2015-02-16,2015-02-27,2015-03-04,2015-02-24,380755,2015-02-27,1,1729.37,2534.88,-805.51,60248501,2015-02-27,2015,1,2,9,OEM,CONTRACT,632494000000,2,0,ONTIME,492977,DETAIL,FEDEX Intl Economy,256094-380755
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,11,2013-06-07,2015-03-03,2015-03-10,2015-03-17,2015-03-10,380756,2015-03-10,1,1729.37,2426.89,-697.52,60248769,2015-03-10,2015,1,3,11,OEM,CONTRACT,FEDEX,3,0,ONTIME,492978,DETAIL,FEDEX Intl Economy,256094-380756
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,12,2013-06-07,2015-03-09,2015-03-24,2015-03-25,2015-03-17,381980,2015-03-24,1,1729.37,2426.89,-697.52,60249260,2015-03-24,2015,1,3,13,OEM,CONTRACT,632494000000,3,0,ONTIME,492979,DETAIL,FEDEX Intl Priority,256094-381980
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,13,2013-06-07,2015-03-17,2015-03-25,2015-04-02,2015-03-25,381982,2015-03-25,1,1729.37,2426.89,-697.52,60249313,2015-03-25,2015,1,3,13,OEM,CONTRACT,632494000000,3,0,ONTIME,492980,DETAIL,FEDEX Intl Economy,256094-381982
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500473474,33000092-6,"FIREX, 50, 2 OUT, (0492-3)",FG,FIR,01F,PLNR01,256094,1,14,2013-06-07,2015-03-13,2015-04-08,2015-04-16,2015-04-08,381981,2015-04-08,1,1729.37,2426.89,-697.52,60249841,2015-04-08,2015,2,4,15,OEM,CONTRACT,FEDEX,4,0,ONTIME,492981,DETAIL,FEDEX Intl Priority,256094-381981
HARBIN EMBRAER AIRCRAFT INDUSTRY CO. LTD.,8485,EMBRAER,TRADE,CIVIL,451215214,33600057-5,FIREX 224-2(0173-1),FG,FIR,01F,PLNR01,256112,20,0,2013-06-10,2014-06-30,2015-03-13,2015-03-17,2014-10-10,381652,2015-03-17,1,1442.77,2338.32,-895.55,60249012,2015-03-17,2015,1,3,12,OEM,LTA,FEDEX',3,-4,LATE,493079,REGULAR,DVS c/o Griley,256112-381652
LEARJET INC_YL,1284,LEARJET,TRADE,CIVIL,PO0626052,18600,DISCHARGE INDICATOR,FG,FIR,01Y,PLNR09,256378,1,5,2013-07-03,2015-01-08,2015-01-17,2015-01-22,2015-01-15,378684,2015-01-17,8,507.2,228.53,278.67,60246983,2015-01-17,2015,1,1,4,OEM,LTA,613757000000,1,0,ONTIME,495052,DETAIL,FEDEX Express3,256378-378684
LEARJET INC_YL,1284,LEARJET,TRADE,CIVIL,PO0626052,18600,DISCHARGE INDICATOR,FG,FIR,01Y,PLNR09,256378,1,6,2013-07-03,2015-04-03,2015-03-27,2015-04-01,2015-04-03,381907,2015-03-19,8,507.2,225.8,281.4,60249101,2015-03-19,2015,1,3,12,OEM,LTA,613757000000,3,8,ONTIME,495053,DETAIL,FEDEX Ground,256378-381907
NORTHROP GRUMMAN CORP.,1453,NORTHROP GRUMMAN,TRADE,MILITARY,2841122,34500042-3,"FIREX 630 CU IN, SINGLE OUT W/PRESS GAUGE",FG,FIR,01F,PLNR01,256517,3,0,2013-09-02,2014-11-21,2015-02-17,2015-01-12,2015-01-05,379443,2015-02-16,2,6800,4311.52,2488.48,60247969,2015-02-16,2015,1,2,8,OEM,JG020413B,632494000000,2,1,ONTIME,495861,REGULAR,FEDEX P-1,256517-379443
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,1,2013-07-17,2015-04-07,2015-04-14,2015-04-21,2015-02-04,382449,2015-03-26,1,1729.37,2462.92,-733.55,60249382,2015-03-26,2015,1,3,13,OEM,LTA,FEDEX,3,19,ONTIME,495976,DETAIL,FEDEX Intl Priority,256525-382449
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,1,2013-07-17,2015-04-07,2015-04-14,2015-04-21,2015-02-04,382980,2015-04-14,2,3458.74,4925.84,-1467.1,60250109,2015-04-14,2015,2,4,16,OEM,LTA,FEDEX,4,0,ONTIME,495976,DETAIL,FEDEX Intl Economy,256525-382980
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,2,2013-07-17,2015-04-20,2015-04-30,2015-05-01,2015-02-17,382981,2015-04-27,1,1729.37,2462.92,-733.55,60250561,2015-04-27,2015,2,4,18,OEM,LTA,632494000000,4,3,ONTIME,495977,DETAIL,FEDEX Intl Economy,256525-382981
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,2,2013-07-17,2015-04-20,2015-04-30,2015-05-01,2015-02-17,384201,2015-04-30,2,3458.74,4925.84,-1467.1,60250772,2015-04-30,2015,2,4,18,OEM,LTA,632494000000,4,0,ONTIME,495977,DETAIL,FEDEX Intl Priority,256525-384201
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,3,2013-07-17,2015-05-04,2015-05-11,2015-05-15,2015-03-02,384818,2015-05-11,2,3458.74,4925.84,-1467.1,60251177,2015-05-11,2015,2,5,20,OEM,LTA,FEDE,5,0,ONTIME,495978,DETAIL,FEDEX Intl Economy,256525-384818
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,4,2013-07-17,2015-05-11,2015-05-18,2015-05-25,2015-03-16,384819,2015-05-18,2,3458.74,4925.84,-1467.1,60251400,2015-05-18,2015,2,5,21,OEM,LTA,FEDEX,5,0,ONTIME,495979,DETAIL,FEDEX Intl Economy,256525-384819
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,5,2013-07-17,2015-05-21,2015-05-28,2015-06-04,2015-03-23,385266,2015-05-28,2,3458.74,4925.84,-1467.1,60251810,2015-05-28,2015,2,5,22,OEM,LTA,63249430---,5,0,ONTIME,495980,DETAIL,FEDEX Intl Economy,256525-385266
BELL HELICOPTER TEXTRON CANADA-YL,1224,BELL HELICOPTER,TRADE,CIVIL,4500481159,33000076-6,"FIREX, 50, 2 OUT, (0417-3)",FG,FIR,01F,PLNR01,256525,1,6,2013-07-17,2015-06-01,2015-06-08,2015-06-15,2015-03-31,385319,2015-06-08,2,3458.74,4925.84,-1467.1,60252213,2015-06-08,2015,2,6,24,OEM,LTA,632494000000,6,0,ONTIME,495981,DETAIL,FEDEX Intl Economy,256525-385319
